时间,伸缩量(mm)
2023-01-31 00:40:00,1598.43
2023-01-31 01:50:00,1603.73
2023-01-31 03:00:00,1608.31
2023-01-31 04:10:00,1612.43
2023-01-31 05:20:00,1616.46
2023-01-31 06:30:00,1620
2023-01-31 07:40:00,1622.93
2023-01-31 08:50:00,1623.76
2023-01-31 10:00:00,1622.43
2023-01-31 11:10:00,1615.6
2023-01-31 12:20:00,1602.2
2023-01-31 13:30:00,1586.9
2023-01-31 14:40:00,1573.77
2023-01-31 15:50:00,1563.97
2023-01-31 17:00:00,1559.85
2023-01-31 18:10:00,1559.57
2023-01-31 19:20:00,1561.54
2023-01-31 20:30:00,1567.01
2023-01-31 21:40:00,1573.82
2023-01-31 22:50:00,1579.65
2023-02-01 00:10:00,1587.08
2023-02-01 01:20:00,1592.93
2023-02-01 02:30:00,1598.04
2023-02-01 03:40:00,1602.22
2023-02-01 04:50:00,1605.75
2023-02-01 06:00:00,1609.07
2023-02-01 07:10:00,1611.71
2023-02-01 08:20:00,1612.73
2023-02-01 09:30:00,1612.84
2023-02-01 10:40:00,1612.67
2023-02-01 11:50:00,1610.74
2023-02-01 13:00:00,1608.64
2023-02-01 14:10:00,1605.13
2023-02-01 15:20:00,1601.18
2023-02-01 16:30:00,1598.33
2023-02-01 17:40:00,1597.47
2023-02-01 18:50:00,1597.19
2023-02-01 20:00:00,1597.19
2023-02-01 21:10:00,1597.19
2023-02-01 22:20:00,1597.19
2023-02-01 23:30:00,1596.99
2023-02-02 00:50:00,1596.69
2023-02-02 02:00:00,1596.03
2023-02-02 03:10:00,1595.56
2023-02-02 04:20:00,1595.45
2023-02-02 05:30:00,1595.42
2023-02-02 06:40:00,1595.42
2023-02-02 07:50:00,1595.42
2023-02-02 09:00:00,1595.39
2023-02-02 10:10:00,1595.37
2023-02-02 11:20:00,1595.34
2023-02-02 12:30:00,1595.34
2023-02-02 13:40:00,1595.26
2023-02-02 14:50:00,1595.12
2023-02-02 16:00:00,1594.98
2023-02-02 17:10:00,1594.9
2023-02-02 18:20:00,1594.87
2023-02-02 19:30:00,1594.87
2023-02-02 20:40:00,1596.14
2023-02-02 21:50:00,1597.83
2023-02-02 23:00:00,1600.98
2023-02-03 00:20:00,1604.2
2023-02-03 01:30:00,1606.14
2023-02-03 02:40:00,1607.52
2023-02-03 03:50:00,1608.46
2023-02-03 05:00:00,1608.65
2023-02-03 06:10:00,1608.85
2023-02-03 07:20:00,1610.72
2023-02-03 08:30:00,1612.38
2023-02-03 09:40:00,1612.68
2023-02-03 10:50:00,1611.6
2023-02-03 12:00:00,1609.86
2023-02-03 13:10:00,1603.53
2023-02-03 14:20:00,1590.24
