时间,风向(°)
2023-02-07 17:13:00,137.37
2023-02-07 18:34:00,336.77
2023-02-07 19:53:00,335.15
2023-02-07 21:12:00,336.9
2023-02-07 22:30:00,324.12
2023-02-07 23:49:00,296.45
2023-02-08 01:09:00,185.93
2023-02-08 02:28:00,322.12
2023-02-08 03:47:00,316.87
2023-02-08 05:06:00,219.48
2023-02-08 06:24:00,290.25
2023-02-08 07:43:00,278
2023-02-08 09:03:00,265.58
2023-02-08 10:21:00,344.27
2023-02-08 11:41:00,37.17
2023-02-08 13:00:00,39.1
2023-02-08 14:18:00,7
2023-02-08 15:37:00,72
2023-02-08 16:56:00,252.68
2023-02-08 18:15:00,10
2023-02-08 19:33:00,216.18
2023-02-08 20:53:00,13
2023-02-08 22:11:00,322.2
2023-02-08 23:31:00,311.03
2023-02-09 00:52:00,109.55
2023-02-09 02:11:00,62.53
2023-02-09 03:30:00,323.28
2023-02-09 04:49:00,324.07
2023-02-09 06:11:00,349.73
2023-02-09 07:29:00,205.83
2023-02-09 08:48:00,111.48
2023-02-09 10:07:00,352.85
2023-02-09 11:27:00,197
2023-02-09 12:50:00,144.93
2023-02-09 14:08:00,145.87
2023-02-09 15:28:00,334.8
2023-02-09 16:46:00,306.3
2023-02-09 18:05:00,249.55
2023-02-09 19:25:00,352.58
2023-02-09 20:43:00,331.92
2023-02-09 22:02:00,94.77
2023-02-09 23:21:00,320.37
2023-02-10 00:42:00,252.67
2023-02-10 02:02:00,172.52
2023-02-10 03:20:00,335.25
2023-02-10 04:39:00,307.07
2023-02-10 05:58:00,340.27
2023-02-10 07:17:00,315.37
2023-02-10 08:37:00,305.93
2023-02-10 09:55:00,7
2023-02-10 11:14:00,354.85
2023-02-10 12:32:00,330
2023-02-10 13:51:00,54.77
2023-02-10 15:11:00,333
2023-02-10 16:29:00,350.23
2023-02-10 17:48:00,48.52
2023-02-10 19:07:00,334.85
2023-02-10 20:27:00,25.1
2023-02-10 21:45:00,237
2023-02-10 23:04:00,29.55
2023-02-11 00:25:00,29.28
2023-02-11 01:44:00,36.95
2023-02-11 03:03:00,286.5
2023-02-11 04:22:00,302.85
2023-02-11 05:42:00,41.02
2023-02-11 07:02:00,334.75
2023-02-11 08:20:00,26.35
2023-02-11 09:40:00,43.67
2023-02-11 11:00:00,348.68
2023-02-11 12:19:00,31.53
2023-02-11 13:38:00,301.05
2023-02-11 14:57:00,301.82
2023-02-11 16:16:00,346.72
2023-02-11 17:35:00,128.48
2023-02-11 18:55:00,337.12
2023-02-11 20:13:00,42.45
2023-02-11 21:32:00,338.28
2023-02-11 22:51:00,99.68
2023-02-12 00:12:00,294.83
2023-02-12 01:30:00,32.07
